skill,requiresKnowledge,mainSkill,assesses,teaches_true,teaches_false,competencyRequired,educationalLevel,URL
RDF,RDF (Resource Description Framework) introduction.,TRUE,"Students are able to understand and represent information as a graph (ie edges, nodes, statements)","Modelling data as an RDF graph (ie URIs, Triples, Strings, Literals and Language tagged strings, Blank nodes, Statements about statements: Reification/quoted triples).",Create/read resources with rdflib and Jupyter notebooks.,None.,Bachelor.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,"Students are able to understand and represent information as a graph (ie edges, nodes, statements)","Different Serialisation formats of RDF (ie N-Triples, Turtle, JSON-LD, RDF/XML, RDFa, Relation with other data models and standards, JSON, XML).",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,"Students are able to explain what is a resource (ie URIs, Blank Nodes as existential variables and placeholders)",Data modelling as a graph in RDF.,Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Student are able to read triples in Turtle,"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Student are able to write triples in Turtle,"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Students are able to merge different RDF graph,"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Students should be able to understand the concept of reification and to represent statements about statements,"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Students are able to explain when 2 graphs are the same Isomorphism,"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Students are able to model theoretic semantics,"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Students should able to understand the need for Common or Shared vocabularies,"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,RDF (Resource Description Framework) introduction.,TRUE,Students should be able to convert data from other formats to RDF (ie from CSV to RDF),"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
RDF,"RDF syntax (Turtle, RDF/XML, JSON-LD).",TRUE,Students should be able to work with RDF libraries (ie create/read resources with rdflib and Jupyter notebooks),"RDF applications (ie Examples of existing knowledge graphs that export RDF, Wikidata, Schema.org annotations in Web pages) .",Convert data from CSV to RDF.,Optional: Knowledge in network graph and basics in logic.,Master.,
Knowledge Graph Standards and Tools,Overview of semantic web standards and principles (ie FAIR data principles).,TRUE,Students are able to recognize different KG standards from different scientific communities and for different purpose.,"KG Standards (why different standards exist, from which communities, for different purposes).",Protege.,Semantic web knowledge.,Bachelor.,
Knowledge Graph Standards and Tools,"Popular knowledge graph standards, tools and frameworks (e.g., Apache Jena, Neo4j, Stardog).",TRUE,"Students are able to use existing and state of the art tools and have hands on sessions to visualise, construct, validate KGs.",RDF.,Apache Jena.,RDF.,Master.,
Knowledge Graph Standards and Tools,"Popular knowledge graph standards, tools and frameworks (e.g., Apache Jena, Neo4j, Stardog).",TRUE,"Students are able to use existing and state of the art tools and have hands on sessions to visualise, construct, validate KGs.",RDFS.,Neo4j.,OWL.,Master.,
Knowledge Graph Standards and Tools,"Popular knowledge graph standards, tools and frameworks (e.g., Apache Jena, Neo4j, Stardog).",TRUE,"Students are able to use existing and state of the art tools and have hands on sessions to visualise, construct, validate KGs.",OWL.,Stardog.,OWL.,Master.,
